pair_id,contrast,heat_color_map,hsv_hue,hsv_saturation,hsv_value,texture
1,0.7807,0.8605,0.7741,0.703,0.8138,0.7802
2,0.4775,0.6881,0.6235,0.4627,0.5126,0.6745
3,0.7889,0.7603,0.751,0.8329,0.7502,0.7001
4,0.4965,0.7611,0.658,0.4761,0.5918,0.5936
5,0.5501,0.7232,0.3969,0.5164,0.5198,0.7278
6,0.7554,0.7871,0.6692,0.6652,0.7674,0.8261
7,0.4955,0.6347,0.3644,0.2521,0.4088,0.4376
8,0.4398,0.6375,0.769,0.4334,0.5551,0.62
9,0.5791,0.7037,0.6621,0.6948,0.7358,0.7105
10,0.5866,0.7567,0.8106,0.5909,0.7189,0.7401
11,0.7177,0.5478,0.7623,0.5051,0.6397,0.438
12,0.5349,0.6681,0.6321,0.5879,0.607,0.757
13,0.7802,0.803,0.7265,0.6054,0.7988,0.7778
14,0.4367,0.5768,0.6651,0.556,0.6532,0.7456
15,0.4326,0.6625,0.3358,0.5944,0.5757,0.5316
16,0.211,0.6333,0.3001,0.2596,0.3416,0.6613
17,0.4324,0.6315,0.622,0.7044,0.5928,0.6376
18,0.7856,0.8715,0.911,0.8383,0.7368,0.795
19,0.7005,0.6148,0.5502,0.5807,0.8859,0.7459
20,0.5605,0.7717,0.6015,0.7408,0.6953,0.7492
21,0.2753,0.6824,0.373,0.3577,0.4476,0.6474
22,0.3457,0.5901,0.4659,0.4371,0.3763,0.7552
23,0.4147,0.3961,0.6504,0.4085,0.5449,0.468
24,0.5201,0.5408,0.6008,0.4414,0.5189,0.4351
25,0.46,0.5372,0.6951,0.3865,0.4832,0.7271
26,0.4343,0.5912,0.337,0.5222,0.5202,0.657
27,0.6964,0.7453,0.6518,0.4664,0.5182,0.7303
28,0.4166,0.5393,0.462,0.5456,0.445,0.6866
29,0.8159,0.7643,0.6413,0.5102,0.8183,0.8028
30,0.5927,0.794,0.6736,0.7381,0.7009,0.8827
31,0.5354,0.768,0.5483,0.6215,0.5829,0.6354
32,0.4048,0.7245,0.5666,0.3702,0.4541,0.5676
33,0.5183,0.5217,0.4233,0.5966,0.4975,0.5871
34,0.6264,0.7742,0.3814,0.7009,0.653,0.7424
35,0.4618,0.6023,0.3709,0.6387,0.5894,0.5098
36,0.5449,0.7583,0.7177,0.682,0.6123,0.755
37,0.5028,0.7,0.5466,0.5983,0.4733,0.6373
38,0.8113,0.7961,0.589,0.5118,0.7997,0.6333
39,0.7229,0.9025,0.745,0.8072,0.8902,0.7624
40,0.6032,0.7021,0.5696,0.6858,0.7451,0.537
41,0.6037,0.7057,0.5131,0.5464,0.7499,0.7707
42,0.7016,0.7377,0.3783,0.8159,0.7604,0.794
43,0.5301,0.7422,0.2572,0.4827,0.5536,0.6892
44,0.5783,0.6857,0.2714,0.4742,0.5522,0.8031
45,0.5712,0.6544,0.4122,0.5442,0.5477,0.7418
46,0.5769,0.7629,0.6215,0.6764,0.6551,0.8699
47,0.6929,0.7866,0.4284,0.5053,0.4936,0.7028
48,0.7656,0.877,0.8483,0.8227,0.7346,0.8159
49,0.6959,0.7522,0.6384,0.6537,0.7368,0.7666
50,0.8221,0.8354,0.6289,0.6929,0.8036,0.8024
51,0.7273,0.8865,0.529,0.6477,0.8582,0.8962
52,0.807,0.8356,0.7524,0.6445,0.8101,0.6906
53,0.7936,0.8637,0.6524,0.7023,0.7903,0.8295
54,0.7839,0.6879,0.8873,0.7469,0.8035,0.7861
55,0.7802,0.8785,0.7106,0.7741,0.8561,0.7948
56,0.7711,0.8893,0.6868,0.7563,0.8564,0.9065
57,0.3902,0.7122,0.5827,0.4533,0.5365,0.7074
58,0.698,0.9009,0.5902,0.6598,0.786,0.8555
59,0.8095,0.9106,0.7301,0.6749,0.8186,0.841
60,0.5917,0.7149,0.6489,0.6537,0.6933,0.7608
61,0.6694,0.6441,0.7587,0.6109,0.7293,0.7376
62,0.4231,0.8154,0.6135,0.3782,0.5316,0.7162
63,0.5405,0.6817,0.3978,0.4579,0.5785,0.5504
64,0.6234,0.8312,0.8128,0.5823,0.7673,0.8457
65,0.5627,0.6636,0.5551,0.5119,0.5719,0.7643
66,0.4995,0.5653,0.5897,0.5617,0.5936,0.4918
67,0.389,0.4973,0.7251,0.528,0.5627,0.778
68,0.6211,0.593,0.6522,0.5509,0.6706,0.6527
69,0.6438,0.7273,0.7503,0.5924,0.7141,0.7756
70,0.7606,0.8743,0.5126,0.703,0.8522,0.7989
71,0.7428,0.6778,0.4555,0.6719,0.515,0.6668
72,0.2041,0.4651,0.4377,0.204,0.2189,0.3571
73,0.5577,0.8053,0.5551,0.663,0.5673,0.7844
74,0.7043,0.7462,0.3744,0.67,0.7486,0.8616
75,0.6309,0.7494,0.7161,0.6124,0.6201,0.6763
76,0.6274,0.7841,0.7294,0.7203,0.7066,0.7837
77,0.5104,0.7968,0.4659,0.7329,0.7658,0.8084
78,0.6977,0.8072,0.8788,0.7109,0.8378,0.7927
79,0.6229,0.8433,0.8846,0.7449,0.6941,0.7487
80,0.7573,0.726,0.6327,0.685,0.8188,0.6994
81,0.8114,0.803,0.9092,0.6129,0.8144,0.7736
82,0.6839,0.8412,0.2159,0.1907,0.7332,0.8246
83,0.8021,0.8191,0.5438,0.7576,0.8427,0.8242
84,0.8406,0.778,0.6658,0.7642,0.8305,0.7617
85,0.5312,0.5542,0.7115,0.7242,0.5819,0.7332
86,0.5262,0.8123,0.7141,0.4751,0.5641,0.6058
87,0.7024,0.7961,0.4893,0.6526,0.7556,0.6747
88,0.6674,0.6832,0.7254,0.729,0.5846,0.7434
89,0.6913,0.8078,0.6522,0.6298,0.7784,0.7956
90,0.2882,0.6122,0.6609,0.3874,0.5857,0.6427
91,0.6147,0.8746,0.5494,0.7497,0.7831,0.8714
92,0.5293,0.441,0.3515,0.3585,0.5388,0.6771
93,0.7242,0.8197,0.7206,0.683,0.7562,0.8994
94,0.4458,0.8369,0.7318,0.5322,0.6166,0.8135
95,0.5572,0.7499,0.3825,0.6596,0.6327,0.8523
96,0.7753,0.7708,0.5578,0.7495,0.8,0.838
97,0.5559,0.6967,0.6324,0.5304,0.6067,0.5394
98,0.7197,0.817,0.7142,0.7967,0.862,0.839
99,0.6658,0.7636,0.8054,0.7302,0.7748,0.7599
100,0.7302,0.9121,0.8259,0.7121,0.8838,0.8819
101,0.8072,0.8527,0.818,0.7623,0.8062,0.8093
102,0.6437,0.8046,0.4196,0.5713,0.6477,0.7466
103,0.6328,0.8463,0.3846,0.6132,0.68,0.838
104,0.7588,0.7691,0.5819,0.7532,0.7544,0.8218
105,0.6599,0.7263,0.5902,0.7612,0.4969,0.7036
106,0.6326,0.7144,0.5085,0.6243,0.7138,0.7122
107,0.4812,0.7827,0.6728,0.4665,0.5279,0.8269
108,0.7791,0.8671,0.5323,0.7348,0.8292,0.8894
109,0.7769,0.7922,0.7114,0.7605,0.782,0.6949
110,0.4418,0.7037,0.6244,0.4331,0.5284,0.7953
111,0.7713,0.8288,0.7374,0.6674,0.7767,0.767
112,0.653,0.7177,0.7065,0.8103,0.6654,0.8162
113,0.4835,0.6509,0.5209,0.55,0.7879,0.7048
114,0.6219,0.792,0.5958,0.471,0.7549,0.8572
115,0.5164,0.69,0.5722,0.5942,0.644,0.8606
